player_class,player_archetype,opponent_class,opponent_archetype,win_rate,total_games
Druid,Spiteful Druid,Warlock,Zoo Warlock,48.79,537
Druid,Spiteful Druid,Warrior,Control Warrior,71.32,129
Hunter,Face Hunter,Druid,Aggro Token Druid,49.54,109
Hunter,Face Hunter,Druid,Jade Druid,45.53,257
Hunter,Face Hunter,Hunter,Midrange Hunter,47.55,347
Hunter,Face Hunter,Hunter,Spell Hunter,42.2,282
Hunter,Face Hunter,Mage,Burn Mage,50,228
Hunter,Face Hunter,Mage,Secret Mage,52.27,1079
Hunter,Face Hunter,Paladin,Aggro Paladin,36.23,632
Hunter,Face Hunter,Paladin,Control Paladin,43.51,131
Hunter,Face Hunter,Paladin,Murloc Paladin,51.24,646
Hunter,Face Hunter,Priest,Big Priest,65.59,247
Hunter,Face Hunter,Priest,Dragon Priest,49.89,449
Hunter,Face Hunter,Priest,Spiteful Priest,51.13,796
Hunter,Face Hunter,Rogue,Mill Rogue,82.86,280
Hunter,Face Hunter,Rogue,Miracle Rogue,68.69,214
Hunter,Face Hunter,Shaman,Elemental Shaman,47.79,113
Hunter,Face Hunter,Shaman,Evolve Shaman,45.98,174
Hunter,Face Hunter,Warlock,Control Warlock,54.24,531
Hunter,Face Hunter,Warlock,Cube Warlock,54.56,680
Hunter,Face Hunter,Warlock,Zoo Warlock,59.16,382
Hunter,Midrange Hunter,Druid,Aggro Token Druid,47.64,592
Hunter,Midrange Hunter,Druid,C'Thun Druid,50,130
Hunter,Midrange Hunter,Druid,Jade Druid,48.48,1384
Hunter,Midrange Hunter,Druid,Ramp Druid,52.7,241
Hunter,Midrange Hunter,Druid,Spiteful Druid,42.95,447
Hunter,Midrange Hunter,Hunter,Face Hunter,52.45,347
Hunter,Midrange Hunter,Hunter,Midrange Hunter,50,1978
Hunter,Midrange Hunter,Hunter,Spell Hunter,47.56,1804
Hunter,Midrange Hunter,Mage,Burn Mage,55.89,1036
Hunter,Midrange Hunter,Mage,Exodia Mage,68.27,249
Hunter,Midrange Hunter,Mage,Freeze Mage,76.59,346
Hunter,Midrange Hunter,Mage,Secret Mage,52.98,5793
Hunter,Midrange Hunter,Paladin,Aggro Paladin,40.09,3949
Hunter,Midrange Hunter,Paladin,Buff Paladin,53.54,127
Hunter,Midrange Hunter,Paladin,Control Paladin,55.8,647
Hunter,Midrange Hunter,Paladin,Murloc Paladin,43.28,3417
Hunter,Midrange Hunter,Priest,Big Priest,56.18,1417
Hunter,Midrange Hunter,Priest,Dragon Priest,52.46,2953
Hunter,Midrange Hunter,Priest,Spiteful Priest,43.72,3879
Hunter,Midrange Hunter,Rogue,Mill Rogue,71.62,1353
Hunter,Midrange Hunter,Rogue,Miracle Rogue,66.38,1154
Hunter,Midrange Hunter,Rogue,Tempo Rogue,59.64,275
Hunter,Midrange Hunter,Shaman,Elemental Shaman,49.04,628
Hunter,Midrange Hunter,Shaman,Evolve Shaman,48.62,726
Hunter,Midrange Hunter,Warlock,Control Warlock,49.94,2727
Hunter,Midrange Hunter,Warlock,Cube Warlock,47.64,3873
Hunter,Midrange Hunter,Warlock,Zoo Warlock,54.71,1868
Hunter,Midrange Hunter,Warrior,Control Warrior,66.15,455
Hunter,Midrange Hunter,Warrior,Pirate Warrior,54.28,269
Hunter,Midrange Hunter,Warrior,Recruit Warrior,59.14,279
Hunter,Spell Hunter,Druid,Aggro Token Druid,47.56,513
Hunter,Spell Hunter,Druid,C'Thun Druid,43.86,114
Hunter,Spell Hunter,Druid,Jade Druid,44.72,1268
Hunter,Spell Hunter,Druid,Ramp Druid,56.15,260
Hunter,Spell Hunter,Druid,Spiteful Druid,44.25,617
Hunter,Spell Hunter,Hunter,Face Hunter,57.8,282
Hunter,Spell Hunter,Hunter,Midrange Hunter,52.44,1804
Hunter,Spell Hunter,Hunter,Spell Hunter,50,1922
Hunter,Spell Hunter,Mage,Burn Mage,51.62,1238
Hunter,Spell Hunter,Mage,Exodia Mage,72.86,269
Hunter,Spell Hunter,Mage,Freeze Mage,78.84,293
Hunter,Spell Hunter,Mage,Secret Mage,61.63,6088
Hunter,Spell Hunter,Paladin,Aggro Paladin,44.65,4717
Hunter,Spell Hunter,Paladin,Control Paladin,41.82,660
Hunter,Spell Hunter,Paladin,Murloc Paladin,50.59,4262
Hunter,Spell Hunter,Priest,Big Priest,40.99,1415
Hunter,Spell Hunter,Priest,Dragon Priest,53.78,2979
Hunter,Spell Hunter,Priest,Spiteful Priest,41.74,4123
Hunter,Spell Hunter,Rogue,Mill Rogue,65.7,1204
Hunter,Spell Hunter,Rogue,Miracle Rogue,68.6,1105
Hunter,Spell Hunter,Rogue,Tempo Rogue,58.11,296
Hunter,Spell Hunter,Shaman,Elemental Shaman,55.19,732
Hunter,Spell Hunter,Shaman,Evolve Shaman,56.59,721
Hunter,Spell Hunter,Warlock,Control Warlock,40.83,2929
Hunter,Spell Hunter,Warlock,Cube Warlock,38.33,4161
Hunter,Spell Hunter,Warlock,Zoo Warlock,60.92,2024
Hunter,Spell Hunter,Warrior,Control Warrior,57.17,453
Hunter,Spell Hunter,Warrior,Pirate Warrior,66.22,225
Hunter,Spell Hunter,Warrior,Recruit Warrior,57.64,229
Mage,Burn Mage,Druid,Aggro Token Druid,57.11,415
Mage,Burn Mage,Druid,Jade Druid,48.43,859
Mage,Burn Mage,Druid,Ramp Druid,32.37,173
Mage,Burn Mage,Druid,Spiteful Druid,43.85,317
Mage,Burn Mage,Hunter,Face Hunter,50,228
Mage,Burn Mage,Hunter,Midrange Hunter,44.11,1036
Mage,Burn Mage,Hunter,Spell Hunter,48.38,1238
Mage,Burn Mage,Mage,Burn Mage,50,800
Mage,Burn Mage,Mage,Exodia Mage,48.2,139
Mage,Burn Mage,Mage,Freeze Mage,49.72,181
Mage,Burn Mage,Mage,Secret Mage,35.78,3849
Mage,Burn Mage,Paladin,Aggro Paladin,38.34,2689
Mage,Burn Mage,Paladin,Control Paladin,48.92,464
Mage,Burn Mage,Paladin,Murloc Paladin,50.84,2309
Mage,Burn Mage,Priest,Big Priest,30.73,1038
Mage,Burn Mage,Priest,Dragon Priest,60.61,1914
Mage,Burn Mage,Priest,Spiteful Priest,41.04,2931
Mage,Burn Mage,Rogue,Mill Rogue,44.52,885
Mage,Burn Mage,Rogue,Miracle Rogue,62.47,746
Mage,Burn Mage,Rogue,Tempo Rogue,60.43,187
Mage,Burn Mage,Shaman,Elemental Shaman,52.88,486
Mage,Burn Mage,Shaman,Evolve Shaman,53.72,376
Mage,Burn Mage,Warlock,Control Warlock,45.32,1902
Mage,Burn Mage,Warlock,Cube Warlock,38.44,2552
Mage,Burn Mage,Warlock,Zoo Warlock,57.44,1170
Mage,Burn Mage,Warrior,Control Warrior,37.5,336
Mage,Burn Mage,Warrior,Pirate Warrior,67.89,109
Mage,Burn Mage,Warrior,Recruit Warrior,48.03,152
Mage,Exodia Mage,Druid,Aggro Token Druid,55.86,111
Mage,Exodia Mage,Druid,Jade Druid,53.75,240
Mage,Exodia Mage,Hunter,Midrange Hunter,31.73,249
Mage,Exodia Mage,Hunter,Spell Hunter,27.14,269
Mage,Exodia Mage,Mage,Burn Mage,51.8,139
Mage,Exodia Mage,Mage,Secret Mage,17.89,682
Mage,Exodia Mage,Paladin,Aggro Paladin,41.31,656
Mage,Exodia Mage,Paladin,Control Paladin,62.83,113
Mage,Exodia Mage,Paladin,Murloc Paladin,29.94,541
Mage,Exodia Mage,Priest,Big Priest,64.73,275
Mage,Exodia Mage,Priest,Dragon Priest,57.8,519
Mage,Exodia Mage,Priest,Spiteful Priest,57.72,693
Mage,Exodia Mage,Rogue,Mill Rogue,42.35,196
Mage,Exodia Mage,Rogue,Miracle Rogue,60.8,176
Mage,Exodia Mage,Shaman,Evolve Shaman,36.29,124
Mage,Exodia Mage,Warlock,Control Warlock,57.44,484
Mage,Exodia Mage,Warlock,Cube Warlock,48.47,652
Mage,Exodia Mage,Warlock,Zoo Warlock,37.6,250
Mage,Freeze Mage,Druid,Jade Druid,57.83,230
Mage,Freeze Mage,Druid,Spiteful Druid,31.4,121
Mage,Freeze Mage,Hunter,Midrange Hunter,23.41,346
Mage,Freeze Mage,Hunter,Spell Hunter,21.16,293
Mage,Freeze Mage,Mage,Burn Mage,50.28,181
Mage,Freeze Mage,Mage,Secret Mage,15.44,1282
Mage,Freeze Mage,Paladin,Aggro Paladin,32.8,817
Mage,Freeze Mage,Paladin,Control Paladin,30,120
Mage,Freeze Mage,Paladin,Murloc Paladin,22.05,821
Mage,Freeze Mage,Priest,Big Priest,49.29,280
Mage,Freeze Mage,Priest,Dragon Priest,49.92,643
Mage,Freeze Mage,Priest,Spiteful Priest,50.87,690
Mage,Freeze Mage,Rogue,Mill Rogue,38.44,320
Mage,Freeze Mage,Rogue,Miracle Rogue,33.49,209
Mage,Freeze Mage,Shaman,Elemental Shaman,39.67,121
Mage,Freeze Mage,Shaman,Evolve Shaman,42.42,165
Mage,Freeze Mage,Warlock,Control Warlock,57.26,496
Mage,Freeze Mage,Warlock,Cube Warlock,48.79,787
Mage,Freeze Mage,Warlock,Zoo Warlock,33.19,458
Mage,Freeze Mage,Warrior,Control Warrior,52.38,105
Mage,Secret Mage,Druid,Aggro Token Druid,52.51,1895
Mage,Secret Mage,Druid,C'Thun Druid,41.56,409
Mage,Secret Mage,Druid,Jade Druid,49.49,4310
Mage,Secret Mage,Druid,Ramp Druid,58.91,679
Mage,Secret Mage,Druid,Spiteful Druid,42.51,1828
Mage,Secret Mage,Hunter,Face Hunter,47.73,1079
Mage,Secret Mage,Hunter,Midrange Hunter,47.02,5793
Mage,Secret Mage,Hunter,Spell Hunter,38.37,6088
Mage,Secret Mage,Mage,Burn Mage,64.22,3849
Mage,Secret Mage,Mage,Exodia Mage,82.11,682
Mage,Secret Mage,Mage,Freeze Mage,84.56,1282
Mage,Secret Mage,Mage,Secret Mage,50,21168
Mage,Secret Mage,Paladin,Aggro Paladin,37.21,15228
Mage,Secret Mage,Paladin,Buff Paladin,52.15,326
Mage,Secret Mage,Paladin,Control Paladin,53.49,2232
Mage,Secret Mage,Paladin,Murloc Paladin,36.2,14137
Mage,Secret Mage,Priest,Big Priest,57.99,5122
Mage,Secret Mage,Priest,Dragon Priest,51.39,10504
Mage,Secret Mage,Priest,Spiteful Priest,44.66,14711
Mage,Secret Mage,Rogue,Mill Rogue,78.66,4292
Mage,Secret Mage,Rogue,Miracle Rogue,68.61,3638
Mage,Secret Mage,Rogue,Tempo Rogue,55.74,940
Mage,Secret Mage,Shaman,Elemental Shaman,61.37,2107
Mage,Secret Mage,Shaman,Evolve Shaman,57.52,2326
Mage,Secret Mage,Warlock,Control Warlock,61.81,10545
Mage,Secret Mage,Warlock,Cube Warlock,57.8,14357
Mage,Secret Mage,Warlock,Zoo Warlock,55.04,6683
Mage,Secret Mage,Warrior,Control Warrior,64.79,1281
Mage,Secret Mage,Warrior,Pirate Warrior,58.02,605
Mage,Secret Mage,Warrior,Recruit Warrior,67.93,767
Paladin,Aggro Paladin,Druid,Aggro Token Druid,51.12,1156
Paladin,Aggro Paladin,Druid,C'Thun Druid,74.84,318
Paladin,Aggro Paladin,Druid,Jade Druid,48.49,2908
Paladin,Aggro Paladin,Druid,Ramp Druid,60.36,449
Paladin,Aggro Paladin,Druid,Spiteful Druid,68.71,1240
Paladin,Aggro Paladin,Hunter,Face Hunter,63.77,632
Paladin,Aggro Paladin,Hunter,Midrange Hunter,59.91,3949
Paladin,Aggro Paladin,Hunter,Spell Hunter,55.35,4717
Paladin,Aggro Paladin,Mage,Burn Mage,61.66,2689
Paladin,Aggro Paladin,Mage,Exodia Mage,58.69,656
Paladin,Aggro Paladin,Mage,Freeze Mage,67.2,817
Paladin,Aggro Paladin,Mage,Secret Mage,62.79,15228
Paladin,Aggro Paladin,Paladin,Aggro Paladin,50,12822
Paladin,Aggro Paladin,Paladin,Buff Paladin,66.95,118
Paladin,Aggro Paladin,Paladin,Control Paladin,55.26,1605
Paladin,Aggro Paladin,Paladin,Murloc Paladin,52.32,11116
Paladin,Aggro Paladin,Priest,Big Priest,55.92,4034
Paladin,Aggro Paladin,Priest,Dragon Priest,59.12,8702
Paladin,Aggro Paladin,Priest,Spiteful Priest,70.7,10352
Paladin,Aggro Paladin,Rogue,Mill Rogue,80.32,3059
Paladin,Aggro Paladin,Rogue,Miracle Rogue,61.24,2513
Paladin,Aggro Paladin,Rogue,Tempo Rogue,63,527
Paladin,Aggro Paladin,Shaman,Elemental Shaman,64.54,1492
Paladin,Aggro Paladin,Shaman,Evolve Shaman,60.5,1567
Paladin,Aggro Paladin,Warlock,Control Warlock,33.68,9249
Paladin,Aggro Paladin,Warlock,Cube Warlock,41.29,10959
Paladin,Aggro Paladin,Warlock,Zoo Warlock,52.73,4508
Paladin,Aggro Paladin,Warrior,Control Warrior,42.3,922
Paladin,Aggro Paladin,Warrior,Pirate Warrior,67.36,337
Paladin,Aggro Paladin,Warrior,Recruit Warrior,59.45,545
Paladin,Buff Paladin,Druid,Jade Druid,55.64,133
Paladin,Buff Paladin,Hunter,Midrange Hunter,46.46,127
Paladin,Buff Paladin,Mage,Secret Mage,47.85,326
